size,mean_obj,std_obj,min_obj,max_obj,mean_time,std_time,min_time,max_time
10,417.55226400000004,5.684341886080802e-14,417.552264,417.552264,0.10087510000000002,0.06395305165111358,0.037849,0.268788
15,387.254319,0.0,387.254319,387.254319,0.10529340000000001,0.03118185065450734,0.073926,0.178486
20,569.70992,0.0,569.70992,569.70992,0.22207670000000004,0.03475138896231343,0.194495,0.293848
25,554.679819,0.0,554.679819,554.679819,0.32762739999999996,0.050399450501369555,0.282224,0.460727
30,489.527711,0.0,489.527711,489.527711,0.8262881,0.021581203091811173,0.799938,0.870442
35,515.8300040000001,1.1368683772161603e-13,515.830004,515.830004,0.6770555,0.09378071688278991,0.60748,0.902233
40,571.006916,0.0,571.006916,571.006916,1.2311232,0.06858240238399352,1.125078,1.337791
45,439.87045,0.0,439.87045,439.87045,0.6420135,0.014083737957303806,0.614185,0.662015
50,365.7500329999999,5.684341886080802e-14,365.750033,365.750033,1.5299763000000002,0.08326083108647189,1.457335,1.767532
55,1010.930756,0.0,1010.930756,1010.930756,27.050287700000002,0.9141932403154214,25.56717,28.688444
60,563.6550530000001,1.1368683772161603e-13,563.655053,563.655053,2.4363604000000003,0.08161620407762178,2.37369,2.658242
65,493.07405600000004,5.684341886080802e-14,493.074056,493.074056,5.423544799999999,0.14194361303264058,5.236765,5.677516
70,441.383653,0.0,441.383653,441.383653,7.104282,0.8779018114087702,6.021701,8.897066
