size,mean_obj,std_obj,min_obj,max_obj,mean_time,std_time,min_time,max_time
10,226.0,0.0,226.0,226.0,0.3274476,0.01067940942374624,0.31313,0.34565
15,165.0,0.0,165.0,165.0,0.4897779,0.06982153623696631,0.408136,0.598514
20,273.2,1.469693845669907,272.0,275.0,0.6781274,0.10698428659125599,0.550818,0.897806
25,154.9,2.8442925306655784,153.0,161.0,1.2697066000000001,0.3395372476159869,0.92244,2.014047
30,205.6,4.476605857119878,201.0,215.0,1.8160211,0.2185964146473816,1.400088,2.190054
35,230.7,3.8742741255621027,226.0,238.0,3.2075161999999997,0.5192988088503189,2.382201,4.3758
40,261.8,6.584831053261731,253.0,270.0,4.356274,0.6813686570494714,3.4816,5.64695
45,211.4,8.99110671719561,200.0,228.0,5.763421899999999,1.2296586194688712,3.444811,7.486468
50,255.2,11.779643458101777,241.0,277.0,8.0804212,2.3011439594126135,5.622917,12.506395
55,274.3,9.829038610159184,259.0,294.0,9.479605600000001,2.6723358413701375,5.309751,14.063332
60,256.4,8.392854103342914,245.0,268.0,11.2843439,2.2494195315511263,8.295665,16.795695
65,277.2,12.253978945632314,257.0,302.0,13.326731200000001,3.0518676228808093,9.655759,19.274631
70,267.3,16.180543872194164,242.0,293.0,20.657683600000002,5.988413412944388,13.539625,36.577275
