size,mean_obj,std_obj,min_obj,max_obj,mean_time,std_time,min_time,max_time
10,236.4,12.737346662472527,226.0,252.0,0.00011020000000000001,1.7982213434391216e-05,8.6e-05,0.00014
15,175.3,5.950630218724736,165.0,185.0,0.0001728,7.259999999999999e-05,9.3e-05,0.000332
20,290.9,20.26548790431654,272.0,336.0,0.0005452,0.00038389446466444393,0.000118,0.000943
25,161.8,10.342146779078316,153.0,191.0,0.0008854,0.0002854877230285043,0.000124,0.001118
30,218.8,7.467261881037787,204.0,232.0,0.0007266,2.6612778885340026e-05,0.000695,0.000773
35,251.5,10.365809182114052,234.0,271.0,0.0010347,0.0002323011192396627,0.000849,0.001617
40,277.5,7.172865536171719,269.0,289.0,0.00112,0.00014365096588606706,0.000931,0.001419
45,231.4,7.748548251124207,214.0,243.0,0.0011801,0.00020497973070525782,0.001003,0.001619
50,260.1,12.533554962579451,243.0,284.0,0.0016679,0.0004037931277275531,0.00122,0.002359
55,282.7,9.370699013414102,271.0,306.0,0.0017369000000000002,0.000325620469258307,0.001364,0.002272
60,273.0,16.558985476169727,252.0,311.0,0.0016922000000000003,0.000252340563524773,0.001442,0.002218
65,287.5,7.710382610480495,277.0,299.0,0.0022409999999999995,0.000243733050692761,0.001846,0.002507
70,298.9,21.992953416946982,272.0,349.0,0.0021366,0.00024719029107147394,0.001858,0.002543
