size,tabu,genetic,cplex
10,417.552264:0.000129 417.552264:0.000082 417.552264:0.000068 417.552264:0.000081 417.552264:0.000150 417.552264:0.000082 417.552264:0.000089 417.552264:0.000105 417.552264:0.000122 417.552264:0.000119 ,417.552264:0.342998 417.552264:0.331200 417.552264:0.332992 417.552264:0.322378 417.552264:0.329989 417.552264:0.326314 417.552264:0.330891 417.552264:0.335901 417.552264:0.321547 417.552264:0.320087 ,417.552264:0.093835 417.552264:0.070462 417.552264:0.070507 417.552264:0.077163 417.552264:0.049257 417.552264:0.081093 417.552264:0.157588 417.552264:0.102209 417.552264:0.037849 417.552264:0.268788 
15,387.254319:0.000187 393.266869:0.000115 387.254319:0.000123 387.254319:0.000144 393.266869:0.000113 399.624691:0.000120 394.974868:0.000144 393.266869:0.000117 394.974868:0.000120 405.637241:0.000113 ,387.254319:0.428314 387.254319:0.406730 387.254319:0.417365 387.254319:0.401992 387.254319:0.399167 387.254319:0.420979 387.254319:0.430701 387.254319:0.418202 387.254319:0.409721 387.254319:0.408314 ,387.254319:0.073926 387.254319:0.109230 387.254319:0.178486 387.254319:0.091249 387.254319:0.081050 387.254319:0.125548 387.254319:0.085969 387.254319:0.080962 387.254319:0.136484 387.254319:0.090030 
20,569.709920:0.001149 569.709920:0.000917 569.709920:0.000913 588.326479:0.000492 573.629589:0.000903 573.629589:0.000273 569.709920:0.000177 569.709920:0.000944 573.629589:0.000957 573.629589:0.000264 ,569.709920:0.620630 569.709920:0.691792 569.709920:0.640191 569.709920:0.587988 569.709920:0.649156 569.709920:0.533271 569.709920:0.670261 569.709920:0.550150 569.709920:0.574653 569.709920:0.653845 ,569.709920:0.194495 569.709920:0.211804 569.709920:0.282287 569.709920:0.214582 569.709920:0.195270 569.709920:0.293848 569.709920:0.195833 569.709920:0.230746 569.709920:0.202105 569.709920:0.199797 
25,554.679819:0.000734 554.679819:0.000653 561.141890:0.000667 557.472801:0.000797 556.208003:0.001156 554.679819:0.001151 554.679819:0.001088 557.472801:0.001186 554.679819:0.001185 561.141890:0.001131 ,554.679819:0.739809 554.679819:0.790016 554.679819:0.728083 554.679819:0.872265 554.679819:0.805722 554.679819:0.755186 554.679819:0.866644 554.679819:0.787136 554.679819:0.834254 554.679819:0.734415 ,554.679819:0.298937 554.679819:0.342678 554.679819:0.460727 554.679819:0.309636 554.679819:0.365864 554.679819:0.306034 554.679819:0.284173 554.679819:0.314766 554.679819:0.311235 554.679819:0.282224 
30,489.527711:0.001046 489.527711:0.001095 489.527711:0.001236 489.527711:0.001209 489.527711:0.001315 489.527711:0.000922 489.527711:0.000768 489.527711:0.000775 489.527711:0.000762 489.527711:0.000785 ,489.527711:1.261953 489.527711:1.254020 489.527711:1.065943 489.527711:1.065925 489.527711:1.151905 489.527711:1.250133 489.527711:1.247930 489.527711:1.190113 489.527711:1.202070 489.527711:1.268016 ,489.527711:0.819311 489.527711:0.827423 489.527711:0.820999 489.527711:0.804409 489.527711:0.829527 489.527711:0.799938 489.527711:0.860472 489.527711:0.811234 489.527711:0.819126 489.527711:0.870442 
35,517.833948:0.001376 515.830004:0.001347 515.830004:0.001359 515.830004:0.001416 515.830004:0.001352 515.830004:0.001348 515.830004:0.001310 515.830004:0.001342 515.830004:0.001325 515.830004:0.001336 ,515.830004:1.730702 515.830004:2.128224 515.830004:1.830916 515.830004:1.561833 515.830004:1.544335 515.830004:1.536518 515.830004:1.546322 515.830004:1.599330 515.830004:1.782075 515.830004:1.684714 ,515.830004:0.607480 515.830004:0.644488 515.830004:0.706630 515.830004:0.621480 515.830004:0.649268 515.830004:0.614519 515.830004:0.902233 515.830004:0.610599 515.830004:0.797743 515.830004:0.616115 
40,576.499811:0.001098 571.501085:0.001011 576.993980:0.000920 571.006916:0.000907 572.515510:0.000901 572.515510:0.000902 577.154740:0.000907 576.499811:0.000906 577.591840:0.000956 576.993980:0.000909 ,571.006916:2.596618 571.006916:2.254271 571.006916:2.430254 571.006916:2.931971 571.006916:2.420073 571.006916:2.471272 571.006916:2.045779 571.006916:2.474363 571.006916:2.287641 571.006916:2.631522 ,571.006916:1.322840 571.006916:1.164049 571.006916:1.163219 571.006916:1.173097 571.006916:1.125078 571.006916:1.274054 571.006916:1.337791 571.006916:1.239465 571.006916:1.269792 571.006916:1.241847 
45,439.870450:0.001500 439.870450:0.001634 439.870450:0.001625 439.870450:0.001416 439.870450:0.001156 439.870450:0.001248 439.870450:0.001136 439.870450:0.001006 439.870450:0.001452 439.870450:0.001661 ,439.870450:2.897684 439.870450:2.617652 439.870450:2.626400 439.870450:2.722488 439.870450:2.770925 439.870450:2.510453 439.870450:2.755860 439.870450:2.773883 439.870450:2.503911 439.870450:2.714002 ,439.870450:0.614185 439.870450:0.658254 439.870450:0.662015 439.870450:0.632046 439.870450:0.650994 439.870450:0.646577 439.870450:0.630133 439.870450:0.635745 439.870450:0.653609 439.870450:0.636577 
50,366.351539:0.001205 366.351539:0.001349 365.750033:0.001759 365.750033:0.001741 366.351539:0.001755 365.750033:0.001296 365.750033:0.001189 366.351539:0.001171 398.554532:0.001160 366.351539:0.001178 ,365.750033:3.917835 365.750033:3.349981 365.750033:3.627219 365.750033:3.751740 365.750033:3.899747 365.750033:3.532861 365.750033:3.563867 365.750033:3.303379 365.750033:3.280500 365.750033:3.257918 ,365.750033:1.457335 365.750033:1.495646 365.750033:1.480013 365.750033:1.533095 365.750033:1.510580 365.750033:1.497928 365.750033:1.506022 365.750033:1.556771 365.750033:1.767532 365.750033:1.494841 
55,1035.337268:0.001956 1040.616067:0.001924 1017.770015:0.001485 1037.819594:0.001312 1025.974535:0.001315 1035.489483:0.001966 1034.010608:0.001939 1028.828869:0.001924 1026.929152:0.001996 1041.046710:0.001938 ,1010.930756:6.717817 1010.930756:6.583749 1010.930756:6.589198 1010.930756:6.120042 1015.427827:5.466183 1015.427827:5.868529 1010.930756:5.112829 1015.427827:5.500542 1010.930756:5.811525 1015.427827:5.819481 ,1010.930756:26.066432 1010.930756:25.567170 1010.930756:28.688444 1010.930756:27.985442 1010.930756:26.805335 1010.930756:28.122774 1010.930756:26.992935 1010.930756:26.866825 1010.930756:26.972529 1010.930756:26.434991 
60,563.640048:0.001756 563.640048:0.001714 563.640048:0.001770 566.258989:0.001532 563.640048:0.001473 563.640048:0.001513 566.258989:0.001467 563.640048:0.001478 566.491442:0.001505 563.640048:0.001516 ,563.640048:6.997041 563.640048:6.533650 563.640048:7.023871 563.640048:5.633118 563.844663:6.553158 563.640048:6.956310 563.640048:7.005659 563.640048:6.456414 563.640048:6.544995 563.640048:6.063464 ,563.655053:2.390929 563.655053:2.421919 563.655053:2.408931 563.655053:2.374872 563.655053:2.398135 563.655053:2.373690 563.655053:2.427559 563.655053:2.407554 563.655053:2.501773 563.655053:2.658242 
65,493.074056:0.001855 493.145335:0.001691 494.092928:0.001732 493.074056:0.001707 493.074056:0.002105 493.145335:0.002281 493.145335:0.001987 494.092928:0.002156 494.976495:0.001854 494.228001:0.002387 ,493.074056:7.324898 493.074056:6.825923 493.074056:7.717338 493.074056:7.801154 493.074056:7.771019 493.074056:9.458528 493.074056:7.508033 493.074056:8.140321 493.074056:7.832625 493.145335:7.056021 ,493.074056:5.535875 493.074056:5.512080 493.074056:5.677516 493.074056:5.236765 493.074056:5.329966 493.074056:5.365278 493.074056:5.287621 493.074056:5.355967 493.074056:5.613189 493.074056:5.321191 
70,441.383653:0.002485 441.383653:0.002693 441.383653:0.002703 446.763601:0.002252 442.574541:0.002583 447.770132:0.002780 441.383653:0.002696 441.486587:0.003270 441.383653:0.003081 441.383653:0.002501 ,441.383653:9.439817 441.383653:10.620155 441.383653:9.339548 441.383653:11.389396 441.383653:9.692615 441.383653:9.808357 441.383653:9.605862 441.383653:8.657936 441.383653:8.628856 441.383653:10.139602 ,441.383653:6.426120 441.383653:6.308364 441.383653:6.411594 441.383653:6.021701 441.383653:8.050619 441.383653:7.818789 441.383653:8.897066 441.383653:7.083386 441.383653:7.415411 441.383653:6.609770 
