tabu_obj,tabu_time,genetic_obj,genetic_time,cplex_obj,cplex_time
654.100000,0.002308,629.800000,6.796011,629.800000,24.822335,
647.200000,0.001681,629.800000,6.830675,629.800000,25.084746,
641.200000,0.001724,629.800000,7.380225,629.800000,26.428477,
666.200000,0.001715,630.800000,8.607026,629.800000,24.883624,
659.200000,0.002149,630.800000,7.401172,629.800000,24.993466,
648.800000,0.001707,629.800000,7.664329,629.800000,25.073791,
631.000000,0.001663,630.800000,6.909322,629.800000,25.183416,
639.700000,0.001528,631.400000,7.342880,629.800000,25.278865,
634.200000,0.002261,629.800000,6.860953,629.800000,25.446896,
643.800000,0.001691,629.800000,6.533636,629.800000,25.508729,
655.800000,0.001770,629.800000,7.403746,629.800000,25.097976,
638.400000,0.001565,630.800000,6.968986,629.800000,25.314101,
644.700000,0.001697,629.800000,6.951887,629.800000,25.262018,
677.500000,0.003406,630.800000,7.404627,629.800000,25.250450,
630.800000,0.001803,629.800000,8.546176,629.800000,25.144447,
646.900000,0.001418,631.000000,6.516784,629.800000,25.115140,
650.300000,0.001519,629.800000,7.382412,629.800000,25.182542,
678.800000,0.002390,630.800000,7.276545,629.800000,25.391635,
648.600000,0.002133,629.800000,8.746296,629.800000,26.228624,
634.200000,0.002008,629.800000,6.998466,629.800000,25.261435,
661.600000,0.002150,631.200000,7.307715,629.800000,25.203167,
649.100000,0.001633,629.800000,7.291513,629.800000,25.195658,
635.600000,0.001488,632.900000,7.278081,629.800000,25.045589,
671.000000,0.001748,629.800000,6.610090,629.800000,25.056767,
649.100000,0.002113,648.300000,5.678759,629.800000,25.249340,
640.300000,0.001773,630.800000,6.515378,629.800000,27.551438,
666.600000,0.001739,630.800000,7.990172,629.800000,25.298217,
646.200000,0.002104,636.000000,6.065816,629.800000,24.512738,
630.800000,0.001686,636.000000,6.009872,629.800000,24.466375,
654.500000,0.005424,629.800000,7.256152,629.800000,24.559696,
631.500000,0.001510,631.200000,6.872784,629.800000,24.517169,
643.300000,0.001783,631.000000,5.652407,629.800000,24.505176,
634.200000,0.002087,629.800000,6.437723,629.800000,24.457862,
665.300000,0.001718,629.800000,5.613607,629.800000,24.418273,
640.200000,0.001639,629.800000,6.377964,629.800000,24.468669,
634.200000,0.001659,630.800000,6.055389,629.800000,24.541766,
631.000000,0.001709,629.800000,6.831641,629.800000,24.945010,
659.000000,0.002207,629.800000,7.180954,629.800000,24.532518,
647.900000,0.001630,629.800000,6.476119,629.800000,24.502707,
646.200000,0.001709,629.800000,6.399332,629.800000,24.444264,
649.800000,0.001450,629.800000,6.801279,629.800000,24.473043,
645.700000,0.001499,629.800000,7.279954,629.800000,24.497534,
652.400000,0.001743,631.500000,6.447330,629.800000,24.566048,
651.500000,0.001574,629.800000,7.661468,629.800000,24.447046,
641.500000,0.001638,629.800000,7.288400,629.800000,24.777740,
648.500000,0.001780,630.800000,6.866246,629.800000,24.476055,
637.800000,0.001731,629.800000,6.427058,629.800000,24.504988,
638.800000,0.002104,631.000000,6.826700,629.800000,24.499977,
670.300000,0.001763,629.800000,6.426759,629.800000,24.455417,
670.000000,0.001615,629.800000,7.002514,629.800000,24.586581,
653.100000,0.002073,629.800000,8.103844,629.800000,24.407342,
631.500000,0.001597,629.800000,8.125933,629.800000,24.466667,
632.200000,0.001507,631.000000,6.435126,629.800000,24.465484,
638.800000,0.001512,629.800000,6.866005,629.800000,24.401334,
665.900000,0.001742,629.800000,6.444322,629.800000,24.412647,
629.800000,0.001783,630.800000,6.526483,629.800000,24.518761,
648.800000,0.001734,629.800000,7.640522,629.800000,24.439326,
642.200000,0.001646,629.800000,7.228269,629.800000,24.411153,
644.800000,0.001762,629.800000,7.253139,629.800000,24.496549,
639.400000,0.002098,645.300000,6.935513,629.800000,24.467856,
643.900000,0.002079,629.800000,6.034041,629.800000,24.500499,
630.500000,0.001693,630.800000,7.224649,629.800000,24.402494,
639.700000,0.001736,629.800000,7.606726,629.800000,24.529836,
649.800000,0.001637,631.200000,6.831383,629.800000,24.524124,
643.900000,0.001578,630.800000,6.960107,629.800000,25.201870,
659.500000,0.001780,636.000000,7.259176,629.800000,24.464333,
659.500000,0.001560,629.800000,6.841948,629.800000,24.541281,
649.500000,0.001715,637.000000,6.130834,629.800000,24.612401,
644.700000,0.001765,629.800000,7.273636,629.800000,24.441560,
644.800000,0.001721,629.800000,6.863516,629.800000,24.485041,
642.600000,0.002095,629.800000,7.254164,629.800000,24.454227,
646.200000,0.002408,631.500000,7.680155,629.800000,24.470302,
640.400000,0.001739,634.200000,6.447312,629.800000,24.495501,
668.800000,0.001679,629.800000,6.498635,629.800000,24.505535,
661.400000,0.001806,629.800000,6.820570,629.800000,24.523265,
652.200000,0.001453,629.800000,8.086982,629.800000,24.407933,
661.900000,0.001670,629.800000,6.475413,629.800000,24.384160,
638.400000,0.001714,630.800000,6.845947,629.800000,24.407099,
638.800000,0.001677,629.800000,7.662688,629.800000,24.549982,
654.200000,0.001754,629.800000,6.510931,629.800000,24.453856,
648.500000,0.001450,629.800000,7.632312,629.800000,24.517965,
661.700000,0.001509,634.200000,6.033755,629.800000,24.537955,
665.600000,0.001745,629.800000,7.308360,629.800000,24.538585,
660.000000,0.001722,629.800000,6.437495,629.800000,24.478410,
630.800000,0.002097,629.800000,6.856515,629.800000,24.509937,
644.200000,0.001761,629.800000,6.020276,629.800000,24.527303,
648.900000,0.002190,629.800000,7.254573,629.800000,24.474027,
704.000000,0.001711,636.000000,7.626348,629.800000,24.646493,
642.900000,0.001738,631.000000,6.050027,629.800000,24.439300,
634.200000,0.001564,629.800000,8.457531,629.800000,24.467775,
665.400000,0.001454,636.000000,6.021763,629.800000,24.523334,
649.000000,0.001997,631.400000,6.837506,629.800000,24.497483,
668.300000,0.001707,629.800000,7.250424,629.800000,25.455613,
652.100000,0.001731,629.800000,6.390811,629.800000,25.046741,
654.900000,0.001440,629.800000,6.828316,629.800000,24.435477,
641.000000,0.001571,629.800000,7.668806,629.800000,24.465057,
654.500000,0.001709,630.800000,6.939617,629.800000,24.492515,
645.200000,0.001643,629.800000,7.665726,629.800000,24.517594,
671.300000,0.001478,630.800000,6.850778,629.800000,24.438148,
649.100000,0.001589,629.800000,6.440071,629.800000,24.363737,
