size,solutions
10,235.645202:0.023283 270.080853:0.007191 257.740636:0.019744 244.431122:0.106559 402.786227:0.027893 233.266003:0.043791 441.866456:0.049202 483.254865:0.051155 267.669415:0.029218 335.432810:0.027961 
11,346.645685:0.054851 395.445501:0.036584 344.000503:0.043862 341.476657:0.037146 447.296018:0.022284 512.178824:0.038483 275.816068:0.054241 472.975643:0.034009 171.068009:0.008881 276.418904:0.027422 
12,425.348649:0.028398 309.592600:0.055417 332.065099:0.063779 263.740686:0.031155 477.633638:0.078922 400.741956:0.150925 248.783166:0.056967 373.353296:0.031988 443.521818:0.057867 608.339881:0.031578 
13,370.876055:0.082234 285.317159:0.032992 411.232270:0.023284 435.523304:0.032800 403.615536:0.051955 578.047706:0.064028 293.688183:0.014503 429.745653:0.042741 443.704696:0.040934 438.740254:0.047677 
14,132.088426:0.030795 379.564997:0.067961 494.441254:0.089039 386.883343:0.034493 461.807926:0.070393 128.350075:0.021258 336.935228:0.054371 376.733134:0.063316 14.330348:0.014538 360.089009:0.108086 
15,519.456426:0.149223 439.308101:0.055742 393.369535:0.043394 458.742081:0.052156 529.797816:0.047129 284.350146:0.056611 49.898806:0.013865 380.660683:0.034653 530.203800:0.070367 384.051239:0.050613 
16,465.721013:0.141462 432.556934:0.074496 283.427220:0.012517 196.026756:0.012541 439.359067:0.112130 436.331047:0.042064 558.223576:0.129127 297.785868:0.014651 298.222774:0.044770 433.426324:0.171979 
17,374.234009:0.170840 562.129715:0.200747 441.674634:0.122952 363.033207:0.042710 456.215745:0.070268 585.054312:0.098221 457.147230:0.185769 512.315201:0.047060 461.846256:0.050676 275.514027:0.015724 
18,554.216173:0.170158 51.260942:0.017022 160.659294:0.016917 432.946566:0.041786 545.893942:0.065947 317.576321:0.061803 48.135275:0.025030 393.565363:0.079808 514.460782:0.047244 489.640830:0.137618 
19,280.205830:0.018790 506.753230:0.112782 527.005828:0.193175 244.731770:0.179780 398.584518:0.180228 649.246618:0.205011 465.341254:0.192420 455.757657:0.094568 768.287991:0.137315 261.350794:0.086824 
20,650.424779:0.180495 490.328925:0.145763 80.094446:0.020288 598.410211:0.220529 418.772016:0.083951 479.426885:0.175628 370.854715:0.099073 452.359255:0.162346 151.428562:0.020512 221.126732:0.088829 
21,468.270071:0.200075 477.465636:0.125418 468.888336:0.121599 474.926381:0.083005 613.893999:0.186955 326.187576:0.128124 560.296162:0.208118 403.511183:0.123902 562.493598:0.556675 461.055538:0.119655 
22,427.346047:0.101249 282.444956:0.087718 324.559742:0.089442 489.688085:0.212905 464.433666:0.201494 315.607907:0.123634 552.418621:0.186084 414.825436:0.082566 19.411744:0.022616 498.956601:0.186748 
23,126.911659:0.133995 256.376393:0.087171 649.419848:0.208628 730.074024:1.050678 352.508830:0.117125 204.582769:0.140589 452.884739:0.101249 364.595407:0.082891 553.122062:0.182357 534.190385:0.170884 
24,647.527934:0.553933 483.707493:0.252638 655.002590:0.183094 558.459983:0.230316 527.488551:0.186247 453.696135:0.300414 527.709669:0.132569 660.594036:0.256367 456.973896:0.798526 451.685178:0.108949 
25,613.559902:0.455432 472.553801:0.130041 435.673590:0.178343 231.866482:0.032501 504.814100:0.206483 406.942402:0.136879 600.425060:0.576006 348.474124:0.260607 469.173176:0.243508 344.843487:0.111349 
26,599.870692:0.440857 526.858759:0.138151 367.496184:0.165121 471.593476:0.156432 584.678165:0.284269 529.076176:0.362470 531.561410:0.542271 387.736630:0.268585 441.113631:0.339180 709.454306:0.254415 
27,608.442462:0.338120 325.603635:0.178531 563.079791:0.638507 673.638134:0.495514 432.436347:0.104073 299.046346:0.188636 739.525643:0.247305 580.730857:0.310034 489.214238:0.217304 524.352356:0.462713 
28,380.229288:0.436622 327.265902:0.431666 318.961292:0.230458 128.535219:0.032562 533.852189:0.260048 481.422318:0.220307 391.057243:0.312686 574.005128:0.314553 369.299698:0.648733 601.169620:0.363632 
29,348.105199:0.099025 470.292472:0.215831 515.876878:0.528871 425.066805:0.158524 673.302409:0.751938 302.606795:0.125503 789.997488:3.029601 585.507248:0.172847 509.978713:0.144147 408.058365:0.285833 
30,534.783269:0.617924 703.222236:0.412154 519.265406:0.567951 447.226483:0.164099 519.106555:0.450021 363.101048:0.616932 527.241191:0.217648 512.868492:0.250596 473.332243:0.318179 104.110349:0.037976 
31,562.265147:0.751412 512.211862:0.408203 678.563454:0.489783 418.115853:0.240819 327.241005:0.195629 594.045227:0.719035 654.402063:1.639164 507.158918:0.938972 616.823399:0.492037 489.862189:0.229327 
32,455.018048:0.297636 543.904413:0.507216 530.088694:0.903037 557.816967:0.333074 587.838255:2.018766 336.367462:0.176962 571.941634:0.383612 683.917416:0.620910 400.045495:0.581459 457.164348:0.314872 
33,712.046729:0.962064 667.205758:0.835251 431.478304:0.663209 326.036533:0.339023 568.924807:0.729058 488.599400:1.743350 627.998185:0.609564 336.598710:2.780826 621.467319:3.375125 500.351139:0.917314 
34,579.507693:0.864741 285.909386:0.282366 629.709152:0.603144 532.988938:0.423268 686.737020:1.498293 282.788250:0.430441 525.652831:0.304621 606.159707:0.793828 585.864685:0.659745 600.408458:0.400028 
35,657.419897:3.266181 207.377691:0.845464 430.349237:0.473864 689.752149:2.996424 267.273210:0.561056 493.894223:0.428862 258.738670:0.312249 479.138950:0.895961 588.301032:32.891253 691.444712:0.587675 
