size,solutions
10,482.095034:0.386818 404.795573:0.360854 370.708906:0.349724 263.323299:0.346153 426.752708:0.353724 433.535373:0.380799 407.507447:0.352522 419.883038:0.355880 470.256931:0.376383 385.169387:0.361257 
11,81.815135:0.341644 328.049148:0.347536 275.400290:0.341056 392.482060:0.364510 369.341223:0.359914 372.421163:0.356821 25.412277:0.332861 514.204892:0.336494 88.578083:0.368091 316.925583:0.360621 
12,368.592277:0.362208 304.506737:0.392235 329.610794:0.356673 301.469233:0.380890 336.169642:0.381588 248.826195:0.374422 254.669615:0.349473 356.815532:0.358426 181.429674:0.373572 227.967815:0.372147 
13,176.961736:0.386973 320.495370:0.376792 311.095153:0.392350 266.310471:0.371078 460.488972:0.386982 382.638781:0.408188 336.381403:0.425972 549.690254:0.382940 289.502127:0.362926 468.543419:0.367077 
14,426.582546:0.385779 265.061639:0.394717 408.078200:0.461300 302.773843:0.404511 161.372181:0.399839 498.127805:0.399690 272.856439:0.388720 486.588631:0.404786 556.442005:0.384951 576.612945:0.387159 
15,328.676827:0.407321 131.608100:0.418714 547.728407:0.412785 123.499544:0.404854 431.366582:0.414893 344.604135:0.424250 384.384978:0.429205 475.212779:0.421953 265.169113:0.411489 466.713643:0.477070 
16,558.184551:0.423497 612.762422:0.472544 308.737699:0.449036 449.334057:0.470479 289.658294:0.454635 401.400192:0.430580 418.537874:0.420361 439.598464:0.433156 404.952025:0.487863 262.273191:0.477992 
17,315.730559:0.515616 404.581679:0.482471 322.090008:0.461905 256.146828:0.455737 506.238365:0.476508 6.872232:0.466077 520.179814:0.459960 346.942436:0.472612 427.215382:0.461529 523.100427:0.612781 
18,573.564126:0.598015 562.667083:0.477591 300.064051:0.475416 292.562450:0.474238 326.912032:0.473872 437.419631:0.491984 389.063702:0.670537 387.125090:0.483006 281.129604:0.478010 388.273529:0.486118 
19,582.256934:0.506173 343.375455:0.617949 511.883018:0.599953 460.787945:0.737728 260.589525:0.517937 560.121432:0.508384 456.753886:0.526680 314.870017:0.525810 540.662596:0.562326 596.296985:0.554598 
20,351.017244:0.540186 295.337050:0.534624 385.157331:0.533280 522.799517:0.572683 536.484342:0.540528 146.460175:0.529456 566.404621:0.579906 213.376610:0.532958 621.498435:0.530666 690.943190:0.532703 
21,506.012913:0.703604 628.297519:0.565258 502.624967:0.563045 623.290777:0.609244 652.222354:0.567692 530.183372:0.566499 426.158367:0.582437 320.880393:0.565190 573.365608:0.658832 648.427375:0.610138 
22,326.553822:0.602516 489.100144:0.602236 430.742681:0.656838 345.374109:0.607785 305.288103:0.649992 187.229401:0.601180 373.351857:0.601823 509.725274:0.652605 480.904130:0.628721 268.816899:0.625132 
23,445.393352:0.725791 293.982986:0.650853 261.194866:0.709318 490.760653:0.688612 610.041383:0.662957 368.950232:0.697501 386.303617:0.656203 499.860098:0.731363 451.882960:0.634694 486.681901:0.792916 
24,512.404333:0.817411 646.126869:0.809320 578.546108:0.686707 724.164327:1.073797 660.143435:0.791958 761.217690:0.731096 532.457997:0.813143 494.154108:0.762812 513.238549:0.716457 543.508543:0.960916 
25,600.633520:0.812479 301.172275:0.832900 496.921926:0.953278 498.561947:0.956582 463.053309:1.111275 527.874265:0.804559 489.506172:0.792932 532.905898:0.734540 129.093231:0.802801 274.999409:0.741626 
26,517.661625:0.936825 445.438587:0.955607 426.823340:0.992116 495.911727:0.932259 567.387270:0.917506 511.255820:0.837795 743.443352:1.038173 591.129509:1.103620 497.906112:0.836456 533.534561:0.805237 
27,371.893279:0.905991 604.789144:0.912217 396.043638:0.943351 378.499715:0.822142 528.830225:1.052788 401.390754:1.063293 618.600290:0.890896 619.011199:1.023125 508.175432:0.947468 380.711718:1.041256 
28,418.091907:1.015654 479.685717:1.040610 688.138966:0.966853 442.185848:1.095453 429.411618:1.123895 650.205327:1.061560 326.198228:0.965176 604.595667:1.076361 519.237023:0.918689 568.637214:0.867941 
29,545.133447:0.994281 528.773460:1.156677 460.682239:1.085859 578.898063:1.006788 540.257345:1.084985 638.443149:1.274278 541.838398:0.993448 576.346254:0.995154 606.797908:0.921025 234.903775:1.000463 
30,615.045368:1.316613 497.279244:1.220805 545.170012:1.400855 627.457602:1.215610 573.265798:1.051860 376.218211:1.140563 376.258156:1.398038 190.032746:1.049037 223.045141:1.230917 624.425371:1.216930 
31,392.554283:1.301323 395.117807:1.298402 431.067688:1.105564 508.846580:1.196253 439.473176:1.110389 278.549828:1.114933 561.529728:1.487248 710.038575:1.949153 526.222537:1.206805 584.421556:1.300428 
32,686.214086:1.378481 490.285356:1.386728 630.906208:1.284587 587.374713:1.261455 428.770459:1.276380 362.238903:1.177523 495.727783:1.475417 588.555802:1.394668 364.981019:1.534471 392.610942:1.225780 
33,642.569216:1.406671 599.274312:1.407144 593.679941:1.418100 317.714407:1.486704 359.375528:1.431144 287.880389:1.375598 370.674831:1.378779 673.653032:1.433900 607.823698:1.875229 476.348487:1.262664 
