size,solutions
10,179.229857:0.000110 84.670656:0.000101 461.552810:0.000100 397.432800:0.000102 407.493470:0.000110 397.641284:0.000087 362.862005:0.000075 243.975945:0.000116 370.323882:0.000086 465.937133:0.000099 
11,253.773261:0.000128 255.362390:0.000108 350.892625:0.000090 192.141604:0.000117 416.586385:0.000138 269.027957:0.000087 32.850016:0.000112 78.716076:0.000100 340.295656:0.000113 306.186943:0.000072 
12,48.450925:0.000134 497.685730:0.000106 326.782234:0.000133 434.353966:0.000159 523.497435:0.000106 526.275472:0.000123 78.888045:0.000130 315.040150:0.000117 582.050986:0.000097 554.557516:0.000118 
13,411.488390:0.000148 425.483749:0.000171 343.366287:0.000123 305.882863:0.000086 540.666628:0.000102 150.577416:0.000097 279.170051:0.000143 353.488551:0.000133 484.761302:0.000142 254.091144:0.000125 
14,318.593555:0.000242 359.599715:0.000172 261.626166:0.000152 517.942664:0.000207 427.167303:0.000156 144.549599:0.000180 489.799223:0.000164 542.090265:0.000207 496.706588:0.000167 570.521552:0.000194 
15,365.132453:0.000165 504.352674:0.000169 749.523207:0.000157 436.967318:0.000159 614.167190:0.000213 442.020472:0.000164 344.263984:0.000170 364.539008:0.000197 348.091942:0.000241 130.235146:0.000140 
16,319.930705:0.000218 546.648760:0.000180 466.599581:0.000147 690.617013:0.000149 292.791555:0.000185 256.186685:0.000232 381.189238:0.000170 303.214551:0.000233 440.373743:0.000190 319.264752:0.000176 
17,358.824067:0.000144 355.437329:0.000498 540.702332:0.000413 390.561232:0.000212 498.521628:0.000193 77.468797:0.000159 516.134226:0.000163 539.173100:0.000242 282.498722:0.000182 483.451673:0.000571 
18,514.425040:0.000137 180.038431:0.000267 346.775699:0.000214 459.148568:0.000236 414.565231:0.000263 370.788071:0.001550 415.795947:0.000137 221.922371:0.000127 457.985107:0.000285 272.058399:0.000496 
19,396.737916:0.001269 253.936534:0.000245 583.749467:0.001505 632.127370:0.001591 608.176649:0.000408 519.749288:0.000444 532.904836:0.000617 73.178755:0.000265 458.576489:0.000174 472.764149:0.000474 
20,452.742573:0.000829 443.777061:0.000156 486.264114:0.000126 686.403635:0.001126 358.411678:0.000818 609.443584:0.000809 312.868930:0.000145 286.710315:0.000829 205.867756:0.000176 386.667465:0.000204 
21,279.221563:0.000871 545.563289:0.000883 494.151311:0.000839 470.536991:0.000827 503.165820:0.000826 467.790948:0.000158 263.601994:0.000848 520.923679:0.000190 199.060851:0.000189 427.982421:0.000830 
22,521.532621:0.000862 615.955388:0.000850 463.549428:0.000869 614.329984:0.000859 288.648087:0.000868 526.747985:0.000851 475.356578:0.000847 562.972146:0.000854 517.707652:0.000864 446.978775:0.000895 
23,224.239238:0.000878 372.539433:0.000878 416.631093:0.000876 431.825088:0.000914 617.899779:0.000878 751.415876:0.000862 587.528168:0.000886 291.795380:0.000953 641.004557:0.000961 640.064124:0.000887 
24,465.567732:0.000911 320.491925:0.000876 444.689617:0.000927 389.369034:0.000929 195.833621:0.000957 512.608579:0.000964 378.344838:0.000919 524.198848:0.000835 623.095781:0.000830 429.665373:0.000793 
25,419.166809:0.000999 497.610316:0.000829 490.607177:0.000877 227.673378:0.000818 578.035359:0.000808 262.086908:0.000812 510.550671:0.000798 443.626109:0.000836 429.733964:0.000918 470.050112:0.001020 
26,445.762978:0.002000 617.525488:0.000889 155.444103:0.000917 447.144045:0.000834 527.810591:0.000822 472.425454:0.001132 627.963998:0.001078 624.150211:0.000753 513.317262:0.000643 526.083134:0.000654 
27,517.864966:0.000661 306.131232:0.000664 326.365776:0.000673 481.459314:0.001238 571.561836:0.000784 491.316036:0.000805 513.189546:0.000682 682.952572:0.000769 674.430122:0.000964 660.485138:0.000725 
28,652.360778:0.000714 383.974284:0.000725 394.830865:0.000729 466.396541:0.000695 494.352061:0.000867 401.113953:0.000879 576.527077:0.000902 649.910381:0.000988 463.993047:0.000887 599.510246:0.000872 
29,39.506689:0.000852 325.127561:0.000872 452.233377:0.000887 372.224636:0.000884 528.726005:0.001060 632.206401:0.001141 653.961675:0.001199 485.344590:0.001155 424.636865:0.001249 313.545153:0.001111 
30,548.021180:0.001187 574.771173:0.001266 597.919939:0.001153 590.119442:0.001196 278.058362:0.001324 689.533901:0.001190 563.388269:0.001143 692.355967:0.000866 556.206449:0.001019 455.503211:0.001284 
31,557.298206:0.001258 803.912608:0.001336 543.182437:0.001197 264.480653:0.001237 580.898484:0.001287 468.011007:0.001313 908.819870:0.000903 453.086113:0.001126 440.833915:0.001293 466.455991:0.001237 
32,500.766503:0.000985 185.056361:0.000842 634.140066:0.001193 430.155752:0.000934 570.430718:0.000953 708.323867:0.000902 528.762899:0.000936 618.140246:0.000946 466.423848:0.001103 523.789873:0.000917 
33,336.555389:0.000943 615.356567:0.000915 253.098084:0.001173 696.793828:0.000944 416.040331:0.001083 633.826668:0.000928 398.965302:0.000940 411.033168:0.000933 421.628690:0.000933 765.587288:0.000947 
34,496.932485:0.001105 562.025761:0.000966 622.367111:0.001093 561.103021:0.000943 457.265440:0.000938 322.994666:0.000983 719.071755:0.000970 315.430593:0.000935 725.630860:0.000958 513.495090:0.000904 
35,746.453127:0.001035 548.795697:0.001025 436.354983:0.001009 665.767440:0.001243 271.476525:0.001320 571.493502:0.001199 687.591029:0.001200 465.625393:0.001238 693.668327:0.001206 468.592790:0.001213 
36,608.554086:0.001359 531.831747:0.001428 291.357502:0.001525 446.050029:0.001418 569.666521:0.001259 520.699973:0.001209 440.642863:0.001256 569.064702:0.001236 546.033621:0.001212 482.663999:0.001216 
37,576.731465:0.001244 816.096177:0.001247 346.007391:0.001260 525.983592:0.001269 646.935011:0.001285 490.916952:0.001231 790.616541:0.001248 545.958346:0.001248 589.763984:0.001090 466.518782:0.011898 
38,500.173379:0.001784 353.316825:0.001411 588.107687:0.001040 415.218367:0.001185 157.129652:0.001009 398.080062:0.001068 587.069153:0.001074 260.408773:0.001047 318.238199:0.001007 677.719007:0.001070 
39,634.792548:0.001126 786.503784:0.001119 578.049422:0.001073 143.729385:0.001062 464.395420:0.001099 819.768452:0.001234 310.592771:0.001059 586.888586:0.001283 535.549054:0.001529 23.222652:0.001516 
40,518.351707:0.001538 457.871821:0.001558 520.920336:0.001386 416.835877:0.001351 615.559336:0.001515 221.568486:0.001472 527.707962:0.001444 381.312491:0.001429 610.371622:0.001441 415.285424:0.001404 
41,552.186872:0.001653 675.937757:0.001447 586.741584:0.001448 714.756605:0.001460 20.714228:0.001406 152.532041:0.003892 446.424531:0.001570 334.491544:0.001594 506.671816:0.001564 439.592867:0.001571 
42,618.656535:0.001561 509.000135:0.001596 771.143956:0.001599 403.343083:0.001605 622.777624:0.001635 762.630821:0.001681 571.846601:0.002165 443.966154:0.002154 612.769335:0.002133 577.074082:0.002167 
43,700.006433:0.002182 11.299675:0.002605 542.592775:0.002173 405.847224:0.002162 694.733672:0.002156 486.195463:0.002248 563.153719:0.001912 128.690740:0.001639 410.428763:0.001643 584.038974:0.001631 
44,381.799170:0.001636 164.091178:0.001615 131.207026:0.001607 325.273168:0.001654 691.178684:0.001639 668.773117:0.001641 492.610194:0.001686 776.802542:0.001630 120.534684:0.001614 684.065407:0.001706 
45,675.975054:0.001708 212.266856:0.001665 791.946761:0.001771 593.986808:0.001674 569.335245:0.001659 657.855191:0.001839 348.241409:0.001580 600.980402:0.001610 518.851069:0.001640 501.877690:0.001735 
46,758.273131:0.002879 507.994257:0.002883 583.135035:0.001770 727.396246:0.001684 606.555748:0.001810 533.539014:0.001677 740.356984:0.001697 535.175429:0.002234 510.416409:0.001932 586.233685:0.001748 
47,682.564901:0.001943 580.616615:0.001762 380.974166:0.002764 501.818031:0.002606 507.782841:0.002488 498.397800:0.002450 608.194940:0.002480 519.275197:0.002283 542.591715:0.001249 321.708562:0.001224 
48,648.136824:0.001373 735.049127:0.001276 447.279036:0.001368 500.338832:0.001284 555.598935:0.001298 358.883515:0.001247 617.505041:0.001636 680.938298:0.001908 416.296295:0.001384 454.507035:0.002334 
49,449.493762:0.003072 643.150697:0.003108 422.792841:0.003036 691.974164:0.003296 471.788758:0.003330 586.737482:0.003284 410.462471:0.001768 615.895141:0.002366 323.381763:0.002386 601.213861:0.001787 
50,639.242689:0.001826 342.003572:0.001813 234.904292:0.005865 549.639438:0.003531 284.621878:0.003964 128.471338:0.003977 523.258036:0.004530 491.689792:0.004785 534.043503:0.002348 393.425975:0.002242 
51,482.987796:0.002538 597.691840:0.002222 668.793778:0.002061 588.234482:0.002147 905.608498:0.002049 679.892768:0.001920 698.432068:0.001984 810.314185:0.001922 430.902051:0.002022 787.348681:0.001976 
52,813.145541:0.001992 567.929441:0.001980 434.843300:0.001954 516.629113:0.002106 768.232335:0.002039 880.376447:0.002547 596.820220:0.002052 464.592036:0.002001 694.914613:0.002017 548.147300:0.001908 
53,370.083217:0.002147 740.767218:0.001931 388.880532:0.002244 640.739890:0.001995 513.896343:0.002099 616.274868:0.001997 340.506648:0.002027 576.748634:0.002037 484.165891:0.002401 678.721798:0.002032 
54,406.688097:0.002048 581.413420:0.001914 603.437419:0.002399 726.557495:0.002024 403.834704:0.002002 538.160372:0.002325 525.059527:0.004405 708.796647:0.003953 719.597544:0.003576 496.553605:0.002526 
55,652.531603:0.002006 551.139602:0.001978 594.588669:0.002033 619.215546:0.002081 246.040016:0.002407 987.827800:0.001697 522.062513:0.002420 711.907087:0.002165 642.494705:0.002418 645.530223:0.002151 
56,316.747793:0.002245 500.142451:0.002235 632.919713:0.002197 308.683945:0.002914 736.399114:0.002477 965.943690:0.001690 457.194015:0.001376 43.331242:0.001321 416.658643:0.001996 667.997342:0.001454 
57,840.828568:0.002088 521.679200:0.001455 376.556318:0.001450 265.644198:0.002062 675.905875:0.001434 440.921400:0.001427 536.913859:0.001604 626.829472:0.001545 377.025227:0.002218 612.483830:0.001678 
58,611.541568:0.001639 566.649612:0.002274 464.862800:0.002412 446.406966:0.002413 496.015551:0.002664 833.029960:0.002879 542.247833:0.002694 740.283874:0.002336 686.843783:0.008132 695.149478:0.002790 
59,356.474518:0.007799 748.720076:0.014510 246.184492:0.003546 467.308747:0.003427 562.635417:0.003921 537.736823:0.002696 612.697759:0.002553 513.538031:0.002604 797.684532:0.002422 593.090625:0.006945 
60,168.312435:0.002519 853.709588:0.002480 355.601996:0.005147 542.825130:0.002521 631.378668:0.002469 636.949447:0.002574 667.881562:0.002648 409.288042:0.002486 474.501794:0.004128 644.578529:0.002540 
